"club_id","player_id","first_name","second_name","last_name","age","technique","endurance","exhaustion","experience","skill_points","current_stamina","reputation","has_next_contract"
"auckland_aces","b1d54ea5-810d-44d7-a09c-92e174ae9a45","Amanda","Helen","Lake","18","75","85","0","3900","0","85","433","True"
"auckland_aces","5cf16c19-eb0a-45be-a8ef-50b34db14cad","Dinah","Amanda","van Tellingen","18","95","80","0","6000","0","80","1200","True"
"brisbane_vipers","f38494d0-cc34-4223-8bdf-cb118eb9236a","Inness","Amanda","Black","19","70","85","0","3300","0","85","412","True"
"brisbane_vipers","eb4da891-f51f-4a50-85b7-f31242b37307","Alina","Justine","Wessel","18","85","85","0","5250","0","85","750","True"
"canberra_masters","046e99cc-8017-45c6-b6cf-759deefcbcb8","Olivia","Julia","Proese","19","95","70","0","4550","0","70","758","True"
"canberra_masters","588dabef-ca8e-44b4-ad2e-67a300bcb646","Alexandra","Carina","Thew","18","95","60","0","3300","0","60","330","True"
"dandenong_pianists","57cc7950-a5f4-42e4-8f79-39a453fee059","Shelby","Addyson","Quick","19","75","80","0","3300","0","80","550","True"
"dandenong_pianists","ecd4b639-a79c-4ef4-979e-ad64c671a0c6","Linda","Mirela","Rueffer","18","80","95","0","6000","0","95","857","True"
"dandenong_pianists","58076604-274e-4012-85d6-31cbbf4a4a8a","Astra","Johanna","Green","16","60","65","0","750","0","65","0","True"
"melbourne_rockets","7d0ea20c-8834-4f2d-b8b0-169e4e573d10","Lucie","Kaitleen","Lee","20","85","75","0","3900","0","75","487","True"
"melbourne_rockets","2a12f344-8a44-4f3d-b697-de40def640a6","Olivia","Monique","Sonne","16","65","60","0","750","0","50","0","True"
"sydney_hearts","775720d8-61dc-45c9-bdd2-b710f82547b8","Patricia","Shari","Prince","20","65","100","0","4550","0","100","910","True"
"sydney_hearts","806eefac-a449-4bce-8f9a-4a4fcb867b3d","Shelby","Fiona","Hannigan","19","95","75","0","5250","0","75","875","True"
"sydney_queens","dfe00357-4bed-47c6-8bbc-1901751ecf66","Veronika","Sara","Fourlis","20","75","80","0","3300","0","80","412","True"
"sydney_queens","67c8d337-7563-48e2-b355-12527681c73a","Fiona","Joana","Winder","19","65","90","0","3300","0","90","330","True"
"tasmanian_devils","fe88c432-2a0c-4def-b0df-9134d954b5be","Sara","Arina","Baker","20","80","85","0","4550","0","85","758","True"
"tasmanian_devils","d1c156ed-9322-4708-bffc-30a22186668f","Jaimee","Christina","Sully","19","75","75","0","2750","0","75","275","True"
"adelaide_falcons","adfe74a8-4ef8-45de-802e-35ccf987722a","Justine","Taysiya","Hering","18","70","80","0","2750","0","80","550","True"
"adelaide_falcons","003435b4-d94a-41fc-8ab3-75bda8900d5e","Shari","Darya","Grebs","18","85","85","0","5250","0","85","656","True"
"saigon_suns","764fdc58-92da-4ca6-ba15-8c1379bbf575","Nora","Andrea","Grindstaff","20","105","65","0","5250","0","65","1050","True"
"saigon_suns","951a2b4f-bd3e-4daa-add9-96690901c332","Sally","Bethanie","Wallace","18","90","80","0","5250","0","80","525","True"
"darwin_ducks","4f2a5a1e-0718-4bc2-a2eb-309e1ea5a1bb","Storm","Bellatrice","Thompson","20","100","85","0","8100","0","60","200","True"
"darwin_ducks","55a7dd3b-b612-4375-b429-afd50f72bb4c","Chelsea","Margaret","Steur","18","80","70","0","2750","0","70","675","True"
"darwin_ducks","ffafd5da-b1b6-43a1-9b71-da74d803e594","Veronika","Aran","Parnaby","18","70","80","0","2750","0","80","132","True"
"darwin_ducks","93bb15ea-301b-44b1-8244-9a9d5e5e4904","Nora","Carina","Aab","16","60","60","0","500","0","60","0","True"
"jakarta_jaguars","976d3d43-8e5d-4361-87d6-b03825536588","Anna","Lisa","Widman","20","95","80","0","6000","0","80","750","True"
"jakarta_jaguars","3a9f1412-875d-47b7-bc61-491181b5700e","Annika","Lilith","McCune","18","80","80","0","3900","0","80","487","True"
"perth_punks","31f5624d-5bae-42aa-9eb4-4ee50f6ef1ba","Judith","Jelena","Saari","19","65","95","0","3900","0","95","400","True"
"perth_punks","187664b5-5bb5-45a1-ab3d-b9122f67b2ca","Jaimee","Caitlin","Reed","18","95","80","0","6000","0","80","666","True"
"hong_kong_netrunners","ed0f00b6-1769-42c3-8d6e-257f194a3891","Olivia","Laura","Pratt","19","80","100","0","6800","0","100","550","True"
"melbourne_tech","b931632b-fe97-4c05-9911-f0baacc93e28","Jelena","Marie","Gray","20","85","85","0","5250","0","85","1750","True"
"melbourne_tech","b79fd3e8-d198-4756-abd2-1251340a919b","Jaimee","Caitlin","Rittberger","18","95","80","0","6000","0","80","1200","True"
"western_furies","939ae1ea-b912-487d-9563-73129654719f","Kathleen","Joan","Woods","20","85","80","0","4550","0","80","910","True"
"western_furies","c6cece59-6af0-4ea6-817f-4c2aeb86ba5a","Justine","Joana","Lottner","18","85","70","0","3300","0","70","550","True"
"farm_club_0","00000000-0000-4000-8000-000000000001","Joan","Katelyn","Rowling 0","30","1","1","0","0","0","1","0","False"
"farm_club_1","00000000-0000-4000-8000-000000000002","Joan","Katelyn","Rowling 1","30","1","1","0","0","0","1","0","False"
"farm_club_2","00000000-0000-4000-8000-000000000003","Joan","Katelyn","Rowling 2","30","1","1","0","0","0","1","0","False"
"farm_club_3","00000000-0000-4000-8000-000000000004","Joan","Katelyn","Rowling 3","30","1","1","0","0","0","1","0","False"
"farm_club_4","00000000-0000-4000-8000-000000000005","Joan","Katelyn","Rowling 4","30","1","1","0","0","0","1","0","False"
"farm_club_5","00000000-0000-4000-8000-000000000006","Joan","Katelyn","Rowling 5","30","1","1","0","0","0","1","0","False"
"farm_club_6","00000000-0000-4000-8000-000000000007","Joan","Katelyn","Rowling 6","30","1","1","0","0","0","1","0","False"
"farm_club_7","00000000-0000-4000-8000-000000000008","Joan","Katelyn","Rowling 7","30","1","1","0","0","0","1","0","False"
"farm_club_8","00000000-0000-4000-8000-000000000009","Joan","Katelyn","Rowling 8","30","1","1","0","0","0","1","0","False"
"farm_club_9","00000000-0000-4000-8000-000000000010","Joan","Katelyn","Rowling 9","30","1","1","0","0","0","1","0","False"
"farm_club_10","00000000-0000-4000-8000-000000000011","Joan","Katelyn","Rowling 10","30","1","1","0","0","0","1","0","False"
"farm_club_11","00000000-0000-4000-8000-000000000012","Joan","Katelyn","Rowling 11","30","1","1","0","0","0","1","0","False"
"farm_club_12","00000000-0000-4000-8000-000000000013","Joan","Katelyn","Rowling 12","30","1","1","0","0","0","1","0","False"
